keys,en,it,es,fr,de
MONSTER_GIANT_RAT,Giant Rat,Ratto gigante,Rata gigante,Rat géant,Riesenratte
MONSTER_KOBOLD_SKIRMISHER,Kobold Skirmisher,Coboldo incursore,Kóbold hostigador,Kobold tirailleur,Kobold-Plänkler
MONSTER_GIANT_SPIDER,Giant Spider,Ragno gigante,Araña gigante,Araignée géante,Riesenspinne
MONSTER_SKELETON_WARRIOR,Skeleton Warrior,Guerriero scheletro,Guerrero esqueleto,Guerrier squelette,Skelettkrieger
MONSTER_SHAMBLING_HUSK,Shambling Husk,Scorza barcollante,Cascarón tambaleante,Carcasse titubante,Wankende Hülle
MONSTER_DIRE_WOLF,Dire Wolf,Lupo crudele,Lobo huargo,Loup sanguinaire,Schattenwolf
MONSTER_CRYPT_GHOUL,Crypt Ghoul,Ghoul della cripta,Necrófago de la cripta,Goule de la crypte,Gruftghul
MONSTER_ANIMATED_PLATE,Animated Plate,Armatura animata,Armadura animada,Armure animée,Belebte Rüstung
MONSTER_EMBER_MEPHIT,Ember Mephit,Mefit di brace,Mefit de brasas,Méphite de braises,Glutmephit
MONSTER_BANDIT_CAPTAIN,Bandit Captain,Capitano dei banditi,Capitán bandido,Capitaine bandit,Banditenhauptmann
MONSTER_CAIRN_WIGHT,Cairn Wight,Wight del tumulo,Espectro del túmulo,Ombre du cairn,Hügelgrabwicht
MONSTER_HOLLOW_TYRANT,The Hollow Tyrant,Il Tiranno Cavo,El Tirano Hueco,Le Tyran Creux,Der Hohle Tyrann
ACTION_BITE,Bite,Morso,Mordisco,Morsure,Biss
ACTION_CLAWS,Claws,Artigli,Garras,Griffes,Klauen
ACTION_DAGGER,Dagger,Pugnale,Puñal,Dague,Dolch
ACTION_DREAD_COMMAND,Dread Command,Comando terrificante,Orden pavorosa,Ordre terrifiant,Schreckensbefehl
ACTION_GRAVE_TOUCH,Grave Touch,Tocco tombale,Toque sepulcral,Toucher sépulcral,Grabesberührung
ACTION_GREATSWORD,Greatsword,Spadone,Mandoble,Épée à deux mains,Großschwert
ACTION_HAND_CROSSBOW,Hand Crossbow,Balestra a mano,Ballesta de mano,Arbalète de poing,Handarmbrust
ACTION_LONGSWORD,Longsword,Spada lunga,Espada larga,Épée longue,Langschwert
ACTION_SCIMITAR,Scimitar,Scimitarra,Cimitarra,Cimeterre,Krummsäbel
ACTION_SHORTSWORD,Shortsword,Spada corta,Espada corta,Épée courte,Kurzschwert
ACTION_SLAM,Slam,Colpo,Golpe,Coup,Hieb
ACTION_SLING,Sling,Fionda,Honda,Fronde,Schleuder
ACTION_VENOMOUS_BITE,Venomous Bite,Morso velenoso,Mordisco venenoso,Morsure venimeuse,Giftiger Biss
ITEM_BASE_DAGGER,Dagger,Pugnale,Daga,Dague,Dolch
ITEM_BASE_DAGGER_GRAMMAR,ns,ms,fs,fs,ms
ITEM_BASE_QUARTERSTAFF,Quarterstaff,Bastone ferrato,Bastón,Bâton,Kampfstab
ITEM_BASE_QUARTERSTAFF_GRAMMAR,ns,ms,ms,ms,ms
ITEM_BASE_SHORTSWORD,Shortsword,Spada corta,Espada corta,Épée courte,Kurzschwert
ITEM_BASE_SHORTSWORD_GRAMMAR,ns,fs,fs,fs,ns
ITEM_BASE_LONGSWORD,Longsword,Spada lunga,Espada larga,Épée longue,Langschwert
ITEM_BASE_LONGSWORD_GRAMMAR,ns,fs,fs,fs,ns
ITEM_BASE_WARHAMMER,Warhammer,Martello da guerra,Martillo de guerra,Marteau de guerre,Kriegshammer
