keys,en,it,es,fr,de
BOOT_PREPARING,Preparing the dungeon…,Preparazione del dungeon…,Preparando la mazmorra…,Préparation du donjon…,Das Verlies wird vorbereitet…
BOOT_FAILED,The game could not start.,Impossibile avviare il gioco.,No se ha podido iniciar el juego.,Le jeu n'a pas pu démarrer.,Das Spiel konnte nicht gestartet werden.
MENU_TITLE,DungeonLike,DungeonLike,DungeonLike,DungeonLike,DungeonLike
MENU_TAGLINE,Every descent is drawn anew.,Ogni discesa è diversa dalle altre.,Cada descenso se genera de nuevo.,Chaque descente est générée à nouveau.,Jeder Abstieg wird neu erschaffen.
MENU_NEW_RUN,New run,Nuova partita,Nueva partida,Nouvelle partie,Neuer Lauf
MENU_CREDITS,Credits,Riconoscimenti,Créditos,Crédits,Danksagungen
MENU_QUIT,Quit,Esci,Salir,Quitter,Beenden
RUN_SEED_LABEL,Run seed: %s,Seme della partita: %s,Semilla de la partida: %s,Graine de la partie : %s,Startwert des Laufs: %s
COMMON_BACK,Back,Indietro,Atrás,Retour,Zurück
CREDITS_HEADING,Credits and licences,Riconoscimenti e licenze,Créditos y licencias,Crédits et licences,Danksagungen und Lizenzen
CREDITS_GAME_HEADING,DungeonLike,DungeonLike,DungeonLike,DungeonLike,DungeonLike
CREDITS_GAME_BODY,An original game. All rights reserved.,Un gioco originale. Tutti i diritti riservati.,Un juego original. Todos los derechos reservados.,Un jeu original. Tous droits réservés.,Ein eigenständiges Spiel. Alle Rechte vorbehalten.
CREDITS_RULES_HEADING,Game rules,Regole di gioco,Reglas del juego,Règles du jeu,Spielregeln
CREDITS_SRD_ATTRIBUTION,"This work includes material from the System Reference Document 5.2.1 (""SRD 5.2.1"") by Wizards of the Coast LLC, available at https://www.dndbeyond.com/srd. The SRD 5.2.1 is licensed under the Creative Commons Attribution 4.0 International License, available at https://creativecommons.org/licenses/by/4.0/legalcode.","This work includes material from the System Reference Document 5.2.1 (""SRD 5.2.1"") by Wizards of the Coast LLC, available at https://www.dndbeyond.com/srd. The SRD 5.2.1 is licensed under the Creative Commons Attribution 4.0 International License, available at https://creativecommons.org/licenses/by/4.0/legalcode.","This work includes material from the System Reference Document 5.2.1 (""SRD 5.2.1"") by Wizards of the Coast LLC, available at https://www.dndbeyond.com/srd. The SRD 5.2.1 is licensed under the Creative Commons Attribution 4.0 International License, available at https://creativecommons.org/licenses/by/4.0/legalcode.","This work includes material from the System Reference Document 5.2.1 (""SRD 5.2.1"") by Wizards of the Coast LLC, available at https://www.dndbeyond.com/srd. The SRD 5.2.1 is licensed under the Creative Commons Attribution 4.0 International License, available at https://creativecommons.org/licenses/by/4.0/legalcode.","This work includes material from the System Reference Document 5.2.1 (""SRD 5.2.1"") by Wizards of the Coast LLC, available at https://www.dndbeyond.com/srd. The SRD 5.2.1 is licensed under the Creative Commons Attribution 4.0 International License, available at https://creativecommons.org/licenses/by/4.0/legalcode."
CREDITS_ENGINE_HEADING,Engine,Motore,Motor,Moteur,Engine
CREDITS_THIRD_PARTY_HEADING,Third-party components,Componenti di terze parti,Componentes de terceros,Composants tiers,Komponenten von Drittanbietern
ITEM_NAME_BASE,{0},{0},{0},{0},{0}
ITEM_NAME_PREFIX,{1} {0},{0} {1},{0} {1},{0} {1},{1} {0}
ITEM_NAME_SUFFIX,{0} {2},{0} {2},{0} {2},{0} {2},{0} {2}
ITEM_NAME_PREFIX_SUFFIX,{1} {0} {2},{0} {1} {2},{0} {1} {2},{0} {1} {2},{1} {0} {2}
MENU_CONTINUE_RUN,Continue run,Riprendi partita,Continuar partida,Reprendre la partie,Lauf fortsetzen
ARCHETYPE_SELECT_HEADING,Choose your delver,Scegli chi scende,Elige a tu explorador,Choisissez votre explorateur,Wähle deinen Absteiger
ARCHETYPE_SELECT_BEGIN,Begin the descent,Inizia la discesa,Comienza el descenso,Commencer la descente,Abstieg beginnen
MAP_HEADING,Choose your path,Scegli il percorso,Elige tu camino,Choisissez votre chemin,Wähle deinen Weg
MAP_DEPTH,Depth {0},Profondità {0},Profundidad {0},Profondeur {0},Tiefe {0}
MAP_ROOM_ENCOUNTER,Encounter,Scontro,Combate,Rencontre,Begegnung
MAP_ROOM_ELITE,Elite,Élite,Élite,Élite,Elite
MAP_ROOM_TREASURE,Treasure,Tesoro,Tesoro,Trésor,Schatz
MAP_ROOM_REST,Rest,Riposo,Descanso,Repos,Rast
MAP_ROOM_BOSS,The throne,Il trono,El trono,Le trône,Der Thron
MAP_ROOM_CLEARED,Cleared,Completata,Despejada,Nettoyée,Geräumt
MAP_ROOM_UNREACHABLE,Unreachable from here,Irraggiungibile da qui,Inalcanzable desde aquí,Inaccessible d'ici,Von hier nicht erreichbar
ENCOUNTER_HEADING,Encounter,Scontro,Combate,Rencontre,Begegnung
ENCOUNTER_YOUR_TURN,Your turn,Il tuo turno,Tu turno,À vous de jouer,Du bist am Zug
ENCOUNTER_ATTACK,Attack,Attacca,Atacar,Attaquer,Angreifen
ENCOUNTER_DEFEND,Defend,Difenditi,Defender,Se défendre,Verteidigen
ENCOUNTER_POWERS,Powers,Poteri,Poderes,Pouvoirs,Kräfte
ENCOUNTER_TARGET,Target: {0},Bersaglio: {0},Objetivo: {0},Cible : {0},Ziel: {0}
ENCOUNTER_USES_LEFT,{0} left,{0} rimasti,Quedan {0},{0} restants,{0} übrig
ENCOUNTER_NO_USES_LEFT,Spent,Esaurito,Agotado,Épuisé,Verbraucht
ENCOUNTER_LOG,Combat log,Registro di combattimento,Registro de combate,Journal de combat,Kampfprotokoll
ENCOUNTER_CONTINUE,Continue,Continua,Continuar,Continuer,Weiter
TREASURE_HEADING,You find something,Trovi qualcosa,Encuentras algo,Vous trouvez quelque chose,Du findest etwas
TREASURE_NOTHING,Nothing here but dust.,Qui non c'è altro che polvere.,Aquí no hay más que polvo.,Il n'y a ici que de la poussière.,Hier ist nichts als Staub.
TREASURE_TAKE,Take it,Prendilo,Cógelo,Le prendre,Nehmen
TREASURE_LEAVE,Leave it,Lascialo,Déjalo,Le laisser,Zurücklassen
TREASURE_EQUIPPED,Equipped,Equipaggiato,Equipado,Équipé,Ausgerüstet
